Data,Rozboje,Bójki i pobicia,Kradzieże z włamaniem,Kradzieże,Wypadki drogowe,Zabici w wypadkach,Ranni w wypadkach,Nietrzeźwi kierujący,Kolizje drogowe
2016-01-01,3,6,17,24,1,0,1,27,44
2016-01-02,2,2,19,16,1,0,4,10,63
2016-01-03,0,1,15,12,1,0,1,6,40
2016-01-04,1,1,26,31,5,1,4,15,100
2016-01-05,2,3,15,34,7,2,5,2,171
2016-01-06,1,1,20,18,2,0,3,15,43
2016-01-07,1,1,29,51,6,0,10,16,115
2016-01-08,5,1,27,42,8,0,10,11,182
2016-01-09,2,5,23,27,8,1,9,14,117
2016-01-10,0,3,10,26,2,0,2,17,83
2016-01-11,4,2,27,44,6,0,9,13,135
2016-01-12,6,1,34,52,17,0,17,11,189
2016-01-13,3,1,33,48,12,0,14,13,238
2016-01-14,2,1,20,36,6,0,6,9,140
2016-01-15,3,1,35,39,6,0,6,15,174
2016-01-16,8,2,25,38,2,0,2,15,133
2016-01-17,1,1,11,27,2,0,2,13,68
2016-01-18,5,2,37,35,6,1,5,16,162
2016-01-19,6,2,14,49,3,1,2,9,166
2016-01-20,2,0,30,39,5,0,6,5,174
2016-01-21,4,2,25,49,9,0,14,9,171
2016-01-22,2,1,29,62,6,0,9,17,211
2016-01-23,2,2,18,23,5,0,5,19,98
2016-01-24,2,7,11,22,4,0,4,17,82
2016-01-25,1,1,23,43,14,1,13,29,162
2016-01-26,0,1,25,65,5,2,3,8,133
2016-01-27,2,1,34,45,8,0,8,13,135
2016-01-28,3,2,31,62,8,0,9,14,166
2016-01-29,7,1,40,53,11,0,15,9,198
2016-01-30,5,4,32,30,7,1,7,20,127
2016-01-31,4,4,37,27,4,0,11,18,68
2016-02-01,2,2,30,63,10,1,10,19,151
2016-02-02,2,1,31,44,5,0,5,26,119
2016-02-03,6,2,33,31,5,2,3,22,156
2016-02-04,1,0,23,43,5,0,5,13,138
2016-02-05,2,1,35,51,7,0,12,45,186
2016-02-06,2,2,28,40,7,2,10,35,102
2016-02-07,2,5,26,26,9,0,10,35,65
2016-02-08,2,2,37,52,5,1,5,23,123
2016-02-09,2,4,28,59,5,0,7,21,140
2016-02-10,1,2,25,47,11,3,8,11,216
2016-02-11,3,4,32,40,4,0,6,15,151
2016-02-12,1,2,28,44,4,0,6,13,174
2016-02-13,3,2,30,35,8,1,7,16,134
2016-02-14,2,7,16,30,5,1,4,26,77
2016-02-15,5,2,27,33,5,0,8,46,129
2016-02-17,3,2,23,53,3,0,3,8,112
2016-02-18,2,1,26,52,3,1,2,13,154
2016-02-18,3,1,27,40,1,0,1,12,93
2016-02-19,0,2,36,40,10,2,8,17,183
2016-02-20,1,2,26,30,2,0,3,32,100
2016-02-21,3,2,26,24,5,0,7,16,88
2016-02-22,3,5,29,52,4,0,5,13,154
2016-02-23,4,2,28,47,7,0,10,10,160
2016-02-24,2,2,38,47,10,1,16,17,173
2016-02-25,2,3,22,49,6,0,7,11,174
2016-02-26,1,0,43,55,5,0,7,13,165
2016-02-27,4,2,18,23,8,0,12,18,123
2016-02-28,3,2,14,31,5,1,4,22,67
2016-02-29,2,2,30,68,7,2,5,21,186
2016-03-01,2,1,25,50,8,1,8,8,216
2016-03-02,3,0,18,38,5,0,5,21,179
2016-03-03,3,1,28,39,6,1,5,19,148
2016-03-04,2,0,30,56,4,0,4,19,148
2016-03-05,3,6,28,43,2,0,2,24,94
2016-03-06,2,1,16,22,1,0,1,23,63
2016-03-07,4,2,29,51,7,0,7,11,161
2016-03-08,1,0,31,48,5,0,6,26,136
2016-03-09,1,0,21,45,6,2,4,17,121
2016-03-10,0,0,16,32,6,0,8,22,159
2016-03-11,5,1,29,50,7,0,7,22,175
2016-03-12,6,6,26,34,6,1,10,23,174
2016-03-13,6,6,20,29,8,0,10,24,66
2016-03-14,4,1,27,55,10,0,11,16,143
2016-03-15,3,1,18,49,8,1,9,13,186
2016-03-16,3,1,21,58,6,0,8,14,165
2016-03-17,1,1,33,49,6,0,6,23,164
2016-03-18,4,1,22,50,5,0,5,23,182
2016-03-19,5,3,28,34,5,0,7,17,117
2016-03-20,5,3,18,23,1,0,2,28,77
2016-03-21,2,2,37,47,3,0,4,23,131
2016-03-22,1,0,25,46,16,3,16,17,178
2016-03-23,0,0,18,36,5,0,10,17,162
2016-03-24,2,2,26,53,6,0,8,18,142
2016-03-25,3,3,24,30,4,1,3,19,142
2016-03-26,2,2,13,15,10,0,12,21,117
2016-03-27,2,1,11,9,2,0,4,17,42
2016-03-28,1,6,21,8,3,0,4,16,53
2016-03-29,2,2,27,51,6,0,8,49,143
2016-03-30,1,3,17,47,8,1,8,11,164
2016-03-31,2,2,29,42,7,1,8,14,153
2016-04-01,3,4,22,43,4,0,6,17,177
2016-04-02,3,1,22,26,10,2,12,21,93
2016-04-03,4,4,21,22,5,1,6,27,86
2016-04-04,4,2,28,61,12,4,14,21,176
2016-04-05,3,2,18,63,6,0,6,12,184
2016-04-06,1,0,15,51,8,2,8,15,149
2016-04-07,1,1,18,43,10,0,12,16,160
2016-04-08,4,2,23,51,8,1,8,10,137
