Data,Rozboje,Bójki i pobicia,Kradzieże z włamaniem,Kradzieże,Wypadki drogowe,Zabici w wypadkach,Ranni w wypadkach,Nietrzeźwi kierujący,Kolizje drogowe
2008-04-01,11,8,57.0,110,13,1,11,32,140
2008-04-02,7,2,53.0,126,13,4,14,28,197
2008-04-03,3,1,44.0,98,9,0,10,31,144
2008-04-04,8,7,58.0,114,9,0,10,46,110
2008-04-05,14,4,49.0,88,6,0,9,42,64
2008-04-06,13,14,60.0,63,10,0,18,33,47
2008-04-07,7,7,56.0,133,12,1,15,32,161
2008-04-08,5,0,58.0,120,10,0,11,40,147
2008-04-09,6,2,46.0,104,19,3,24,35,129
2008-04-10,5,5,62.0,89,19,1,20,51,177
2008-04-11,8,7,48.0,92,24,1,25,48,138
2008-04-12,5,9,33.0,68,8,1,12,53,138
2008-04-13,12,8,38.0,44,16,1,20,41,64
2008-04-14,10,11,53.0,135,13,4,15,38,151
2008-04-15,11,5,51.0,113,16,1,16,34,168
2008-04-16,5,5,42.0,88,16,1,17,26,188
2008-04-17,4,3,60.0,103,12,0,12,29,140
2008-04-18,7,3,47.0,116,9,0,12,35,187
2008-04-19,9,6,34.0,70,8,0,15,97,152
2008-04-20,8,10,57.0,42,14,1,19,50,78
2008-04-21,6,7,80.0,104,12,2,20,33,162
2008-04-22,8,2,33.0,95,13,1,16,27,144
2008-04-23,5,6,59.0,108,7,0,7,28,156
2008-04-24,1,3,69.0,104,11,1,11,39,130
2008-04-25,15,7,40.0,98,19,2,19,35,176
2008-04-26,8,3,41.0,91,12,1,17,61,118
2008-04-27,10,8,35.0,40,13,1,13,41,95
2008-04-28,5,3,48.0,122,18,3,20,39,190
2008-04-29,7,2,42.0,102,14,0,19,25,152
2008-04-30,5,3,61.0,119,21,0,25,40,172
2008-05-01,7,7,32.0,51,11,0,16,44,69
2008-05-02,6,6,53.0,87,13,1,17,48,99
2008-05-03,7,3,37.0,45,11,0,18,44,59
2008-05-04,8,9,34.0,47,16,1,23,48,126
2008-05-05,6,4,62.0,131,8,3,10,20,142
2008-05-06,8,8,61.0,104,19,1,24,27,160
2008-05-07,7,2,55.0,105,10,0,11,24,148
2008-05-08,11,2,29.0,110,6,1,6,17,138
2008-05-09,7,5,45.0,112,19,0,30,48,190
2008-05-10,10,8,47.0,62,19,0,28,28,137
2008-05-11,11,5,37.0,45,17,1,22,44,87
2008-05-12,2,9,56.0,134,13,2,12,36,148
2008-05-13,8,1,51.0,86,14,1,14,27,155
2008-05-14,6,2,34.0,106,18,0,24,27,166
2008-05-15,7,3,56.0,117,12,3,14,26,150
2008-05-16,11,3,52.0,120,7,0,8,57,173
2008-05-17,10,5,75.0,50,16,1,16,62,112
2008-05-18,15,8,42.0,49,14,1,30,55,126
2008-05-19,10,4,68.0,115,22,2,23,29,243
2008-05-20,6,4,48.0,135,11,0,12,30,195
2008-05-21,2,3,50.0,123,9,1,10,19,235
2008-05-22,3,7,41.0,52,4,0,5,34,50
2008-05-23,9,2,62.0,112,4,0,9,45,113
2008-05-24,4,8,51.0,87,12,1,17,41,90
2008-05-25,14,4,47.0,61,8,1,13,42,56
2008-05-26,11,2,63.0,122,14,1,14,29,144
2008-05-27,12,1,59.0,108,14,1,21,34,132
2008-05-28,10,1,58.0,128,12,0,14,27,147
2008-05-29,12,4,69.0,100,7,1,5,25,149
2008-05-30,10,3,46.0,95,18,2,20,30,175
2008-05-31,6,4,53.0,88,17,2,25,37,132
2008-06-01,8,5,44.0,50,20,1,20,36,103
2008-06-02,8,3,60.0,132,13,0,14,36,158
2008-06-03,4,4,57.0,130,16,2,18,24,171
2008-06-04,6,2,68.0,120,13,1,16,25,148
2008-06-05,6,2,70.0,127,9,0,13,25,147
2008-06-06,11,2,48.0,124,14,0,19,42,167
2008-06-07,8,4,32.0,71,9,0,12,96,106
2008-06-08,6,5,28.0,44,7,0,9,46,81
2008-06-09,10,13,50.0,107,12,0,24,31,147
2008-06-10,8,4,52.0,136,11,0,14,42,143
2008-06-11,7,6,45.0,99,9,0,12,38,172
2008-06-12,10,1,53.0,101,12,1,18,23,138
2008-06-13,7,7,49.0,121,16,0,22,43,133
2008-06-14,5,3,48.0,77,9,1,8,36,119
2008-06-15,6,5,38.0,52,6,0,7,37,84
2008-06-16,7,2,45.0,126,13,0,19,31,160
2008-06-17,7,2,39.0,109,15,1,21,21,183
2008-06-18,7,5,50.0,109,14,0,18,37,115
2008-06-19,4,1,49.0,93,13,1,12,41,37
2008-06-20,6,4,53.0,93,11,0,14,52,177
2008-06-21,4,11,42.0,69,11,0,16,50,92
2008-06-22,12,6,43.0,54,14,2,17,49,82
2008-06-23,16,1,65.0,114,20,1,30,41,133
2008-06-24,6,4,37.0,139,14,1,14,42,153
2008-06-25,6,4,45.0,132,14,0,24,40,163
2008-06-26,5,3,52.0,99,13,0,15,29,156
2008-06-27,6,4,32.0,123,9,0,14,33,152
2008-06-28,9,4,51.0,83,14,1,18,56,114
2008-06-29,7,8,34.0,60,19,0,29,55,86
2008-06-30,8,4,54.0,122,5,0,6,48,153
2008-07-01,4,1,55.0,131,18,2,28,40,143
2008-07-02,9,3,50.0,103,17,1,18,33,115
2008-07-03,4,2,34.0,111,22,2,22,46,130
2008-07-04,4,2,37.0,91,18,24,6,50,196
2008-07-05,6,4,45.0,65,15,3,22,36,133
2008-07-06,11,9,30.0,53,7,1,14,53,63
2008-07-07,4,6,42.0,99,14,1,17,42,141
2008-07-08,6,1,41.0,110,13,0,27,28,160
2008-07-09,7,6,50.0,101,8,1,7,35,171
2008-07-10,12,4,35.0,113,12,0,14,41,137
2008-07-11,4,4,46.0,110,12,0,16,63,163
2008-07-12,4,4,35.0,71,16,8,18,51,106
2008-07-13,3,4,31.0,51,12,1,16,48,124
2008-07-14,6,4,49.0,112,11,0,13,36,131
2008-07-15,3,7,59.0,111,7,0,9,30,133
2008-07-16,8,1,62.0,112,15,2,14,41,112
2008-07-17,10,3,43.0,115,11,0,14,40,134
2008-07-18,5,2,46.0,102,10,0,13,47,118
2008-07-20,7,9,27.0,45,12,1,13,55,79
